1N4448        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4449        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4450        DIODE,SI SIGNAL/SWITCHING <50V <300MA VERY-FAST(TRR<100NS)
1N4451        DIODE,SI SIGNAL/SWITCHING <50V <300MA VERY-FAST(TRR<100NS)
1N4454        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4459        DIODE,SI RECTIFIER <2KV <10A
1N4460JAN     DIODE,ZENER 6.2V <2W
1N4461        DIODE,ZENER 6.8V <2W
1N4462        DIODE,ZENER 7.5V <2W
1N4463        DIODE,ZENER 8.2V <2W
1N4464        DIODE,ZENER 9.1V <2W
1N4465        DIODE,ZENER 10V <2W
1N4466        DIODE,ZENER 11V <2W
1N4467        DIODE,ZENER 12V <2W
1N4467JAN     DIODE,ZENER 12V <2W
1N4468        DIODE,ZENER 13V <2W
1N4469        DIODE,ZENER 15V <2W
1N4470        DIODE,ZENER 16V <2W
1N4471        DIODE,ZENER 18V <2W
1N4472        DIODE,ZENER 20V <2W
1N4473        DIODE,ZENER 22V <2W
1N4474        DIODE,ZENER 24V <2W
1N4475        DIODE,ZENER 27V <2W
1N4476        DIODE,ZENER 30V <2W
1N4477        DIODE,ZENER 33V <2W
1N4478        DIODE,ZENER 36V <2W
1N4479        DIODE,ZENER 39V <2W
1N4480        DIODE,ZENER 43V <2W
1N4481        DIODE,ZENER 47V <2W
1N4482        DIODE,ZENER 51V <2W
1N4483        DIODE,ZENER 56V <2W
1N4484        DIODE,ZENER 62V <2W
1N4485        DIODE,ZENER 68V <2W
1N4486        DIODE,ZENER 75V <2W
1N4487        DIODE,ZENER 82V <2W
1N4488        DIODE,ZENER 91V <2W
1N4489        DIODE,ZENER 100V <2W
1N4490        DIODE,ZENER 110V <2W
1N4491        DIODE,ZENER 120V <2W
1N4492        DIODE,ZENER 130V <2W
1N4495JAN     DIODE,ZENER 180V <2W
1N4532        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4534        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N456         DIODE,SI SIGNAL/SWITCHING <50V <100MA
1N456A        DIODE,SI SIGNAL/SWITCHING <50V <100MA
1N457A        DIODE,SI SIGNAL/SWITCHING <100V <100MA
1N457JAN      DIODE,SI SIGNAL/SWITCHING <100V <100MA
1N458         DIODE,SI SIGNAL/SWITCHING <200V <100MA
1N458A        DIODE,SI SIGNAL/SWITCHING <200V <100MA
1N459         DIODE,SI RECTIFIER <400V <.3A
1N459A        DIODE,SI RECTIFIER <400V <.3A
1N459JAN      DIODE,SI RECTIFIER <400V <.3A
1N4606        DIODE,SI SIGNAL/SWITCHING <100V <300MA VERY-FAST(TRR<100NS)
1N4608        DIODE,SI SIGNAL/SWITCHING <100V <1A VERY-FAST(TRR<100NS)
1N4619        DIODE,ZENER 3.0V <1W
1N461A        DIODE,SI SIGNAL/SWITCHING <50V <100MA
1N4620        DIODE,ZENER 3.3V <1W
1N4622        DIODE,ZENER 3.9V <1W
1N4629        DIODE,ZENER 7.5V <1W
1N462A        DIODE,SI SIGNAL/SWITCHING <100V <100MA
1N4630        DIODE,ZENER 8.2V <1W
1N463A        DIODE,SI SIGNAL/SWITCHING <200V <100MA
1N4678        DIODE,ZENER 1.8V <1W
1N4679        DIODE,ZENER 2.0V <1W
1N4680        DIODE,ZENER 2.2V <1W
1N4681        DIODE,ZENER 2.4V <1W
1N4682        DIODE,ZENER 2.7V <1W
1N4683        DIODE,ZENER 3.0V <1W
1N4684        DIODE,ZENER 3.3V <1W
1N4685        DIODE,ZENER 3.6V <1W
1N4686        DIODE,ZENER 3.9V <1W
1N4687        DIODE,ZENER 4.3V <1W
1N4688        DIODE,ZENER 4.7V <1W
1N4689        DIODE,ZENER 5.1V <1W
1N4690        DIODE,ZENER 5.6V <1W
1N4691        DIODE,ZENER 6.2V <1W
1N4692        DIODE,ZENER 6.8V <1W
1N4693        DIODE,ZENER 7.5V <1W
1N4694        DIODE,ZENER 8.2V <1W
1N4695        DIODE,ZENER 8.7V <1W
1N4696        DIODE,ZENER 9.1V <1W
1N4697        DIODE,ZENER 10V <1W
1N4698        DIODE,ZENER 11V <1W
1N4699        DIODE,ZENER 12V <1W
1N4700        DIODE,ZENER 13V <1W
1N4701        DIODE,ZENER 14V <1W
1N4702        DIODE,ZENER 15V <1W
1N4703        DIODE,ZENER 16V <1W
1N4704        DIODE,ZENER 14V <1W
1N4705        DIODE,ZENER 18V <1W
1N4706        DIODE,ZENER 19V <1W
1N4707        DIODE,ZENER 20V <1W
1N4708        DIODE,ZENER 22V <1W
1N4709        DIODE,ZENER 24V <1W
1N4710        DIODE,ZENER 25V <1W
1N4711        DIODE,ZENER 27V <1W
1N4712        DIODE,ZENER 28V <1W
1N4713        DIODE,ZENER 30V <1W
1N4714        DIODE,ZENER 33V <1W
1N4715        DIODE,ZENER 36V <1W
1N4716        DIODE,ZENER 39V <1W
1N4717        DIODE,ZENER 43V <1W
1N4719        DIODE,SI RECTIFIER <100V <10A
1N4720        DIODE,SI RECTIFIER <200V <10A
1N4721        DIODE,SI RECTIFIER <400V <10A
1N4722        DIODE,SI RECTIFIER <600V <10A
1N4723        DIODE,SI RECTIFIER <800V <10A
1N4724        DIODE,SI RECTIFIER <1KV <10A
1N4725        DIODE,SI RECTIFIER <2KV <10A
1N4728        DIODE,ZENER 3.3V <2W
1N4728A       DIODE,ZENER 3.3V <2W
1N4728D       DIODE,ZENER 3.3V <2W
1N4729        DIODE,ZENER 3.6V <2W
1N4729A       DIODE,ZENER 3.6V <2W
1N4730        DIODE,ZENER 3.9V <2W
1N4730A       DIODE,ZENER 3.9V <2W
1N4731        DIODE,ZENER 4.3V <2W
1N4731A       DIODE,ZENER 4.3V <2W
1N4732        DIODE,ZENER 4.7V <2W
1N4732A       DIODE,ZENER 4.7V <2W
1N4733        DIODE,ZENER 5.1V <2W
1N4733A       DIODE,ZENER 5.1V <2W
1N4733D       DIODE,ZENER 5.1V <2W
1N4734        DIODE,ZENER 5.6V <2W
1N4734A       DIODE,ZENER 5.6V <2W
1N4735        DIODE,ZENER 6.2V <2W
1N4735A       DIODE,ZENER 6.2V <2W
1N4735D       DIODE,ZENER 6.2V <2W
1N4736        DIODE,ZENER 6.8V <2W
1N4736A       DIODE,ZENER 6.8V <2W
1N4736D       DIODE,ZENER 6.8V <2W
1N4737        DIODE,ZENER 7.5V <2W
1N4737A       DIODE,ZENER 7.5V <2W
1N4737D       DIODE,ZENER 7.5V <2W
1N4738        DIODE,ZENER 8.2V <2W
1N4738A       DIODE,ZENER 8.2V <2W
1N4738D       DIODE,ZENER 8.2V <2W
1N4739        DIODE,ZENER 9.1V <2W
1N4739A       DIODE,ZENER 9.1V <2W
1N4739D       DIODE,ZENER 9.1V <2W
1N4740        DIODE,ZENER 10V <2W
1N4740A       DIODE,ZENER 10V <2W
1N4740D       DIODE,ZENER 10V <2W
1N4741        DIODE,ZENER 11V <2W
1N4741A       DIODE,ZENER 11V <2W
1N4741D       DIODE,ZENER 11V <2W
1N4742        DIODE,ZENER 12V <2W
1N4742A       DIODE,ZENER 12V <2W
1N4742D       DIODE,ZENER 12V <2W
1N4743        DIODE,ZENER 13V <2W
1N4743A       DIODE,ZENER 13V <2W
